,,,,,,,,,
March-2024,Scheme Name,"No. of
Schemes
as on
March,
2024","No. of Folios
as on March,
2024","Funds
Mobilized
for the
month of
March 2024
(INR in
crore)","Repurchase/
Redemption
for the
month of
March 2024
(INR in
crore)","Net Assets
Under
Managemen
t as on
March, 2024
(INR in
crore)","Average Net
Assets Under
Managemen
t for the
month
March 2024
(INR in
crore)","No. of
segregat
ed
portfolio
s
created
as on
March,
2024","Net
Assets
Under
Manage
ment in
segregat
ed
portfoli
o as on
March,
2024
(INR in
crore)"
August-2022,Income/Debt Oriented Schemes,-,-,-,-,-,-,-,-
August-2022,Overnight Fund,3 2,"6 ,08,994","4 ,21,677.17","4 ,38,082.30","1 ,06,254.59","1 ,43,593.77",-,-
August-2022,Liquid Fund,3 7,"1 7,52,790","3 ,33,449.62","2 ,83,353.80","4 ,11,291.99","4 ,21,076.44",-,-
August-2022,Ultra Short Duration Fund,2 6,"6 ,20,888","2 1,135.38","1 4,762.97","9 7,575.87","9 4,831.89",-,-
August-2022,Low Duration Fund,2 2,"9 ,95,936","1 1,408.22","8 ,444.11","1 ,02,931.84","1 ,01,662.55",1,-
August-2022,Money Market Fund,2 2,"4 ,17,852","2 5,646.23","1 9,717.45","1 ,18,232.40","1 ,14,710.45",-,-
August-2022,Short Duration Fund,2 6,"5 ,35,625","6 ,814.83","4 ,225.18","9 8,862.56","9 6,811.39",-,-
August-2022,Medium Duration Fund,1 6,"2 ,62,892",4 94.93,5 96.82,"2 8,969.60","2 8,878.59",4,1 30.59
August-2022,Medium to Long Duration Fund,1 3,"1 ,12,528",8 1.11,1 41.03,"9 ,081.81","9 ,044.05",-,-
August-2022,Long Duration Fund,3,"2 6,037",1 47.14,4 9.97,"2 ,732.89","2 ,661.74",-,-
August-2022,Dynamic Bond Fund,2 5,"2 ,22,528","1 ,263.24",3 64.59,"2 2,991.71","2 2,640.85",1,5 0.08
August-2022,Corporate Bond Fund,2 1,"6 ,29,857","3 ,322.28","2 ,649.58","1 ,15,412.21","1 ,14,685.93",-,-
August-2022,Credit Risk Fund,1 5,"2 ,60,902",3 00.02,3 88.36,"2 6,297.90","2 6,258.41",4,6 6.37
August-2022,Banking and PSU Fund,2 3,"3 ,17,833","1 ,950.03","3 ,330.25","8 1,787.11","8 1,975.21",-,-
August-2022,Gilt Fund,2 2,"1 ,72,746",6 52.28,2 83.60,"1 5,674.65","1 5,489.75",-,-
August-2022,Gilt Fund with 10 year constant duration,5,"4 4,501",1 60.22,6 62.92,"1 ,511.53","1 ,470.32",-,-
August-2022,Floater Fund,1 2,"2 ,51,047","1 ,934.53","4 ,220.04","6 3,624.97","6 4,362.21",-,-
August-2022,"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",3 20,"7 2,32,956","8 ,30,437.25","7 ,81,272.96","1 3,03,233.66","1 3,40,153.55",1 0,2 47.04
-,-,-,-,-,-,-,-,-,-
August-2022,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
August-2022,Multi Cap Fund,1 4,"3 5,16,764","1 ,346.85",9 54.20,"6 2,108.53","6 0,938.09",-,-
August-2022,Large Cap Fund,3 1,"1 ,28,32,758","3 ,621.52","3 ,577.93","2 ,40,308.23","2 ,37,993.98",-,-
August-2022,Large & Mid Cap Fund,2 7,"7 2,58,212","2 ,437.93","1 ,406.96","1 ,22,862.47","1 ,20,902.06",-,-
August-2022,Mid Cap Fund,2 7,"9 4,20,335","3 ,716.62","2 ,237.21","1 ,78,094.34","1 ,74,220.03",-,-
August-2022,Small Cap Fund,2 4,"8 8,89,305","2 ,759.76","1 ,499.78","1 ,20,464.00","1 ,17,225.51",-,-
August-2022,Dividend Yield Fund,8,"5 ,88,848",1 36.62,1 66.58,"1 0,172.05","1 0,123.99",-,-
August-2022,Value Fund/Contra Fund,2 2,"4 2,52,900","1 ,228.84",8 74.35,"8 5,681.59","8 4,301.04",-,-
